CFU;Type;Concept;Context;;;;;;;;;;;;;;;;;;;;;;;
(to) weave;simplex;conceive;Her dreams will provide raw material from which she can weave new stories. ;;;;;;;;;;;;;;;;;;;;;;;
(to) wither;simplex;decline;In recent weeks, humanities professors—feeling the withering of their departments and fearing virtual demotions—have begun to resist calls to abandon traditional teaching methods.;;;;;;;;;;;;;;;;;;;;;;;
Achilles' heel;idiom;weakness;Yesterday's accident provides further evidence that advanced nuclear fuel cycle development is the Achilles' heel of the Japanese nuclear power program. ;;;;;;;;;;;;;;;;;;;;;;;
all ears;idiom;listening;If anyone has any suggestions for me, I'm all ears.;;;;;;;;;;;;;;;;;;;;;;;
behind closed/locked doors;idiom;in private;You're not there 24/7, you don't know what goes on behind closed doors.;;;;;;;;;;;;;;;;;;;;;;;
(to) bury the hatchet;idiom;to stop fighting or arguing;Why don't we all get together and have dinner tonight and bury the hatchet?;;;;;;;;;;;;;;;;;;;;;;;
butterflies in one's stomach;idiom;nervousness;The effects of these hormones on the body create the feelings of stress and anxiety, e.g. butterflies in the stomach, sweaty palms, faster heartbeat, muscle tension, shallow breathing, and difficulty focusing on anything other than the threat.;;;;;;;;;;;;;;;;;;;;;;;
by the skin of your teeth;idiom;barely;Dude, we just escaped by the skin of our teeth.;;;;;;;;;;;;;;;;;;;;;;;
(to) chill one's blood;idiom;to horrify;Dashing across a field, I saw a sight that chilled my blood.;;;;;;;;;;;;;;;;;;;;;;;
(to) climb the walls;idiom;be frantic;I can't just sit at home climbing the walls not knowing what he's gonna do next.;;;;;;;;;;;;;;;;;;;;;;;
(to) drive someone up the wall;idiom;to irritate;It drives me up the wall that credit card transactions take two or three days to appear in online transactions.;;;;;;;;;;;;;;;;;;;;;;;
(to) get the ball rolling;idiom;to start;It took a while to get the ball rolling again, but I had my first IVF attempt in January.;;;;;;;;;;;;;;;;;;;;;;;
(to) go to bat for;idiom;to support;He went to bat for Raila on why he was the best suited candidate.;;;;;;;;;;;;;;;;;;;;;;;
(to) hit the ceiling;idiom;to become angry;People hit the ceiling and go out the door, never to come back. ;;;;;;;;;;;;;;;;;;;;;;;
(to) hit the nail on the head;idiom;to be right;The authors certainly hit the nail on the head with the major theme of the book.;;;;;;;;;;;;;;;;;;;;;;;
(to) hold one's horses;idiom;to wait;While advertising might seem like a lucrative idea to podcasters who want to monetize their work, I would suggest them to hold their horses.;;;;;;;;;;;;;;;;;;;;;;;
(to) kick the bucket;idiom;to die;You've all seen bucket lists of various types, things to do and places to see before we kick the bucket.;;;;;;;;;;;;;;;;;;;;;;;
on cloud nine;idiom;blissful;When your special someone is around, you will feel like you are on cloud nine and nothing matters as long as they are with you.;;;;;;;;;;;;;;;;;;;;;;;
on the same wavelength;idiom;in agreement;Our campus is full of students who are on the same wavelength.;;;;;;;;;;;;;;;;;;;;;;;
once in a blue moon;idiom;rarely;Once in a blue moon, Hollywood releases a film that changes cinema forever.;;;;;;;;;;;;;;;;;;;;;;;
piece of cake;idiom;easy;Refereeing is a piece of cake compared to my main job.;;;;;;;;;;;;;;;;;;;;;;;
(to) pull someone's leg;idiom;to tease;I thought they were pulling my leg, but as I read further, these people are dead serious.;;;;;;;;;;;;;;;;;;;;;;;
(to) shoot the breeze;idiom;to chatter;You can sit down at a table with a guest and ask questions or just shoot the breeze.;;;;;;;;;;;;;;;;;;;;;;;
(to) spill the beans;idiom;to reveal a secret;The firm's clients are names everyone would know, but they're often bound to confidentiality agreements that prevent them from spilling the beans.;;;;;;;;;;;;;;;;;;;;;;;
(to) throw down the gauntlet;idiom;to challenge;I would like to throw down the gauntlet to others out there to pledge and challenge themselves in something that could make a difference in theirs or someone else's life.;;;;;;;;;;;;;;;;;;;;;;;
(to) throw in the towel;idiom;to give up;There'll be days when you want to throw in the towel, days when it feels too much.;;;;;;;;;;;;;;;;;;;;;;;
under the table;idiom;secretly;As long as the embargo is in force, explicitly military gear can only be sold under the table and smuggled in.;;;;;;;;;;;;;;;;;;;;;;;
up a tree;idiom;in trouble;Rivka finds herself far from home, up a tree and in the midst of a protest, not knowing whether she'll be able to go back to where she came from.;;;;;;;;;;;;;;;;;;;;;;;
up in the air;idiom;uncertain ;In 2020, the status of the event was up in the air until about one week prior due to COVID-19 restrictions.;;;;;;;;;;;;;;;;;;;;;;;
(to) walk on eggshells;idiom;to act carefully;She didn't mince words or walk on eggshells to sound more feminine.;;;;;;;;;;;;;;;;;;;;;;;
when hell freezes over;idiom;never;Until people learn how to judge what they read (and for most, as badly educated as they are these days, this will happen about when hell freezes over), the Net can be a dangerous place.;;;;;;;;;;;;;;;;;;;;;;;
with one's head held high;idiom;proudly;She wanted to walk free with her head held high.;;;;;;;;;;;;;;;;;;;;;;;
(as) alike as two peas in a pod;simile;identical;They understand each other because they are as alike as two peas in a pod.;;;;;;;;;;;;;;;;;;;;;;;
(to) avoid like the plague;simile;to evade;That place is genuinely dangerous and best avoided like the plague.;;;;;;;;;;;;;;;;;;;;;;;
(as) bald as a coot;simile;bald;Within two weeks I was bald as a coot and the doctors didn't know why.;;;;;;;;;;;;;;;;;;;;;;;
(as) bright as a button;simile;intelligent;The dog is as bright as a button and learns tricks and new skills quickly.;;;;;;;;;;;;;;;;;;;;;;;
(as) deaf as a post;simile;deaf;He's deaf as a post and I have to yell every time I talk to him.;;;;;;;;;;;;;;;;;;;;;;;
(to) drink like a fish;simile;to drink alcohol heavily;It won't do your diet any good if you drink like a fish.;;;;;;;;;;;;;;;;;;;;;;;
(to) eat like a horse;simile;to eat large amounts;She ate like a horse whenever free food was available.;;;;;;;;;;;;;;;;;;;;;;;
(to) fit like a glove;simile;to fit perfectly;I've had these boots for twenty-five years and they fit like a glove.;;;;;;;;;;;;;;;;;;;;;;;
(as) free as a bird;simile;free;Imagine soaring through the skies, free as a bird.;;;;;;;;;;;;;;;;;;;;;;;
(as) fresh as a daisy;simile;well-rested;I have woken up this morning feeling fresh as a daisy.;;;;;;;;;;;;;;;;;;;;;;;
(as) happy as a clam;simile;happy;Our beautiful daughter, Esther, is as happy as a clam in front of a camera.;;;;;;;;;;;;;;;;;;;;;;;
(to) know like the back of one's hand;simile;to be knowledgeable about;I've been watching the episodes since I was 12, and I know them like the back of my hand now.;;;;;;;;;;;;;;;;;;;;;;;
(as) mad as a hatter;simile;crazy;Sign up to our event today, you'd be mad as a hatter to miss it!;;;;;;;;;;;;;;;;;;;;;;;
(as) neat as a pin;simile;clean;I love planning, organizing, and keeping my home neat as a pin.;;;;;;;;;;;;;;;;;;;;;;;
(as) old as the hills;simile;old;Most of the techniques that work in copywriting are as old as the hills.;;;;;;;;;;;;;;;;;;;;;;;
(as) plain as a pikestaff;simile;obvious;It was as plain as a pikestaff that she was by far the most popular woman on board.;;;;;;;;;;;;;;;;;;;;;;;
(as) poor as a church mouse;simile;poor;I don't care if he's as poor as a church mouse, so long as he can make my daughter happy.;;;;;;;;;;;;;;;;;;;;;;;
(to) run like the wind;simile;to run fast;When he turned, I grabbed my clothes, slid down the ladder, and ran like the wind.;;;;;;;;;;;;;;;;;;;;;;;
(to) sell like hotcakes;simile;to sell quickly;Her book sold like hotcakes, mostly in the eastern United States and in Britain.;;;;;;;;;;;;;;;;;;;;;;;
(to) shake like a leaf;simile;to tremble heavily;I recall that girl testifying against the drug dealer, who was shaking like a leaf on the stand.;;;;;;;;;;;;;;;;;;;;;;;
(to) sing like an angel;simile;to sing well;She sings like an angel and plays a myriad of percussion instruments.;;;;;;;;;;;;;;;;;;;;;;;
(to) sleep like a log;simile;to sleep deeply;Stephen slept like a log anywhere he wanted or needed to.;;;;;;;;;;;;;;;;;;;;;;;
(as) sly as a fox;simile;sly;In order to stay alive, she had to be as sly as a fox, as she was homeless.;;;;;;;;;;;;;;;;;;;;;;;
(to) smoke like a chimney;simile;to smoke frequently;She enjoyed excellent health all her life–even though she smoked like a chimney!;;;;;;;;;;;;;;;;;;;;;;;
(to) spread like wildfire;simile;to spread rapidly;A quote or a statistic can be taken out of context, and then misunderstandings spread like wildfire.;;;;;;;;;;;;;;;;;;;;;;;
(as) strong as an oak;simile;strong;For a petite woman, she was as strong as an oak.;;;;;;;;;;;;;;;;;;;;;;;
(as) stubborn as a mule;simile;stubborn;When I have a dream, I can be as stubborn as a mule.;;;;;;;;;;;;;;;;;;;;;;;
(to) sweat like a pig;simile;to sweat profusely;My body just does not deal well with warmer temperatures and higher humidity, and I tend to sweat like a pig.;;;;;;;;;;;;;;;;;;;;;;;
(to) treat like a dog;simile;to treat badly;He was treated like a dog, and he had to work from sun up to sundown.;;;;;;;;;;;;;;;;;;;;;;;
(to) work like a dog;simile;to work hard;I worked like a dog for the next 20 years to pay off the debt.;;;;;;;;;;;;;;;;;;;;;;;
After a storm comes a calm;proverb;Things often improve after a difficult time;After a storm comes a calm, and prolonged calmness indicates an upcoming storm.;;;;;;;;;;;;;;;;;;;;;;;
All that glitters is not gold;proverb;Not everything that seems good is actually good;In Las Vegas, all that glitters is not gold, but all that glitters is all that matters.;;;;;;;;;;;;;;;;;;;;;;;
All roads lead to Rome;proverb;There are different ways of reaching the same goal;All roads lead to Rome, but some roads are clearly better than others.;;;;;;;;;;;;;;;;;;;;;;;
Beggars can't be choosers;proverb;When in need, one should take what is offered;It isn't the ideal job for someone who planned on being a teacher, but beggars can't be choosers, because a job is a job in this economy.;;;;;;;;;;;;;;;;;;;;;;;
Better be the head of a dog than the tail of a lion;proverb;It is better to be an important part of something modest than a small part of something big;"This seemed to be what they call ""better be the head of a dog than the tail of a lion."" He wasn't sure to call him unambitious, willingly resigning himself to a common place.";;;;;;;;;;;;;;;;;;;;;;;
A bird in the hand is worth two in the bush;proverb;Having something for certain is better than having the possibility of something better;You want to take it right now because because a bird in the hand is worth two in the bush.;;;;;;;;;;;;;;;;;;;;;;;
Birds of a feather flock together;proverb;Similar people tend to associate;Laura and Gloria are sisters and, of course, birds of a feather flock together.;;;;;;;;;;;;;;;;;;;;;;;
The chickens come home to roost;proverb;Actions have consequences;Chickens will come home to roost any day now, and it's too difficult to blame the previous incumbent or external factors.;;;;;;;;;;;;;;;;;;;;;;;
Clothes don't make the man;proverb;One should not judge others for their appearance;Clothes never make the man, but they suggest who he is.;;;;;;;;;;;;;;;;;;;;;;;
Cobbler, stick to your last;proverb;People should not concern themselves with what they don't know about;"When he had painted a picture, and exposed it to public view, a cobbler pointed out a defect in the shoe-latchet. Apelles changed it, but when the man next proceeded to criticise the leg of the figure, Apelles replied, ""Cobbler, stick to your last.""";;;;;;;;;;;;;;;;;;;;;;;
Curiosity killed the cat;proverb;Undue curiosity is dangerous;So far, I had been motivated by curiosity—but as the proverb says, curiosity killed the cat.;;;;;;;;;;;;;;;;;;;;;;;
Don't count your chickens before they hatch;proverb;One should not take something for granted until it is certain;"This is a classic case of ""don't count your chickens before they hatch"" as Clark assumes that his bonus check will be the same of years past.";;;;;;;;;;;;;;;;;;;;;;;
Don't look a gift horse in the mouth;proverb;One should be grateful for what is given to them;Don't look a gift horse in the mouth this Christmas, just be happy with whatever gift you get.;;;;;;;;;;;;;;;;;;;;;;;
The early bird catches the worm;proverb;To be successful, one must be proactive;"The adage ""the early bird catches the worm"" holds true in retirement planning.";;;;;;;;;;;;;;;;;;;;;;;
Experience is the mother of wisdom;proverb;Experiencing things is the best way to learn;Experience is the mother of wisdom. If you want to know what Tibet is like, visit Tibet on the spot.;;;;;;;;;;;;;;;;;;;;;;;
An eye for an eye, a tooth for a tooth;proverb;The appropriate way of dealing with an offense or crime is retaliating in kind;I may take an eye for an eye, a tooth for a tooth and reduce him to my level.;;;;;;;;;;;;;;;;;;;;;;;
Half a loaf is better than no bread;proverb;Getting less than one wanted is still better than getting nothing at all;We cannot help everyone, but half a loaf is better than no bread at all.;;;;;;;;;;;;;;;;;;;;;;;
It never rains, but it pours;proverb;Unfortunate events occur in quantity;It never rains, but it pours, and our Vice-Chair is now in hospital waiting for heart surgery following a heart attack.;;;;;;;;;;;;;;;;;;;;;;;
A leopard never changes its spots;proverb;One cannot change who they are;She tells Sunita that a leopard never changes its spots and that she shouldn't go wasting years of her life on him like she did.;;;;;;;;;;;;;;;;;;;;;;;
A lie has no legs;proverb;The truth is always revealed;A lie has no legs, even if you create a system to base it on.;;;;;;;;;;;;;;;;;;;;;;;
Live by the sword, die by the sword;proverb;People who damage others tend to suffer the same damage;Celebrity culture and politics are ruled by the same principle: live by the sword , die by the sword.;;;;;;;;;;;;;;;;;;;;;;;
Once bitten, twice shy;proverb;Unpleasant experiences make people cautious;Consumers are once bitten, twice shy when it comes to owning an electric vehicle.;;;;;;;;;;;;;;;;;;;;;;;
Revenge is a dish best served cold;proverb;Revenge is more effective when one has had time to plan it;Revenge is a dish that's best served cold, but that doesn't mean it's not complicated.;;;;;;;;;;;;;;;;;;;;;;;
Rome wasn't built in a day;proverb;Complex tasks require time and effort;At the risk of sounding poetically cliche: Rome wasn't built in a day, and the same goes for your net worth.;;;;;;;;;;;;;;;;;;;;;;;
The shoemaker's children go barefoot;proverb;Experts do not apply their skills to themselves or those closest to them;The shoemaker's children go barefoot, and so, in almost 20 years of working as a professional programmer and web developer, I've never really got around to making a proper site for myself.;;;;;;;;;;;;;;;;;;;;;;;
A shut mouth catches no flies;proverb;It is better not to speak than say something inappropriate;Cabinet members not declaring their choice: ‘they’ve learnt a shut mouth catches no flies’.;;;;;;;;;;;;;;;;;;;;;;;
There is no rose without thorns;proverb;Every good thing has a negative aspect;There is no rose without thorns and the same is true for love.;;;;;;;;;;;;;;;;;;;;;;;
There is no smoke without fire;proverb;There is always some truth behind rumors;The danger of social media is that it is all too easy to just assume there is no smoke without fire.;;;;;;;;;;;;;;;;;;;;;;;
Time is money;proverb;Time is valuable and should not be wasted;Time is money, so we are all learning to act quickly in a way that does not disrupt the quality of our work.;;;;;;;;;;;;;;;;;;;;;;;
When one door closes, another opens;proverb;When an opportunity is lost, another soon becomes available;Never be frightened of change – when one door closes another always opens.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
